name,url,currentVersion,crownUpdateDate
companieshouse/overseas-entities-web,https://github.com/companieshouse/overseas-entities-web,4.6.0,N/A
communitiesuk/ukraine-sponsor-resettlement,https://github.com/communitiesuk/ukraine-sponsor-resettlement,4.7.0,N/A
openregister/registers-frontend,https://github.com/openregister/registers-frontend,1.3.0,N/A
digital-land/digital-land.info,https://github.com/digital-land/digital-land.info,4.2.0,N/A
ministryofjustice/hmpps-template-typescript,https://github.com/ministryofjustice/hmpps-template-typescript,5.4.0,2024-02-06T17:04:00Z
DFE-Digital/early-careers-framework,https://github.com/DFE-Digital/early-careers-framework,5.4.0,2024-02-19T16:57:32Z
DFE-Digital/buy-for-your-school,https://github.com/DFE-Digital/buy-for-your-school,4.4.1,N/A
UKGovernmentBEIS/beis-report-official-development-assistance,https://github.com/UKGovernmentBEIS/beis-report-official-development-assistance,3.13.1,N/A
hmcts/div-petitioner-frontend,https://github.com/hmcts/div-petitioner-frontend,2.13.0,N/A
HMPO/hmpo-components,https://github.com/HMPO/hmpo-components,4.8.0,2024-02-22T00:51:19Z
DEFRA/water-abstraction-ui,https://github.com/DEFRA/water-abstraction-ui,3.15.0,2024-02-19T16:48:20Z
Crown-Commercial-Service/digitalmarketplace-admin-frontend,https://github.com/Crown-Commercial-Service/digitalmarketplace-admin-frontend,2.13.0,N/A
ministryofjustice/find-moj-data,https://github.com/ministryofjustice/find-moj-data,5.3.1,2024-02-19T15:02:39Z
uktrade/selling-online-overseas,https://github.com/uktrade/selling-online-overseas,4.7.0,N/A
uktrade/great-international-ui,https://github.com/uktrade/great-international-ui,4.7.0,N/A
ministryofjustice/hmpps-community-accommodation-tier-2-ui,https://github.com/ministryofjustice/hmpps-community-accommodation-tier-2-ui,5.4.0,2024-04-10T13:11:11Z
ministryofjustice/hmpps-visits-internal-admin-ui,https://github.com/ministryofjustice/hmpps-visits-internal-admin-ui,5.4.0,2024-02-08T16:56:45Z
DFE-Digital/govuk_feature_flags,https://github.com/DFE-Digital/govuk_feature_flags,4.5.0,N/A
ministryofjustice/laa-apply-for-criminal-legal-aid,https://github.com/ministryofjustice/laa-apply-for-criminal-legal-aid,5.3.1,2024-01-31T12:18:40Z
LandRegistry/hmlr-design-system,https://github.com/LandRegistry/hmlr-design-system,4.6.0,N/A
Crown-Commercial-Service/easy-google-analytics,https://github.com/Crown-Commercial-Service/easy-google-analytics,1.0.0,N/A
DFE-Digital/find-a-lost-trn,https://github.com/DFE-Digital/find-a-lost-trn,5.2.0,2024-02-27T11:37:30Z
hmcts/civil-citizen-ui,https://github.com/hmcts/civil-citizen-ui,4.8.0,undefined
communitiesuk/submit-social-housing-lettings-and-sales-data,https://github.com/communitiesuk/submit-social-housing-lettings-and-sales-data,4.7.0,N/A
DEFRA/waste-permits,https://github.com/DEFRA/waste-permits,4.1.0,N/A
DFE-Digital/npq-registration,https://github.com/DFE-Digital/npq-registration,5.4.0,2024-02-26T10:04:45Z
DEFRA/ffc-grants-frontend,https://github.com/DEFRA/ffc-grants-frontend,4.3.1,N/A
Crown-Commercial-Service/ccs-scale-cat-buyer-ui,https://github.com/Crown-Commercial-Service/ccs-scale-cat-buyer-ui,5.2.0,2024-02-22T11:53:45Z
alphagov/paas-product-pages,https://github.com/alphagov/paas-product-pages,5.2.0,2024-02-08T10:28:15Z
smbc-digital/stockportgov-design-system,https://github.com/smbc-digital/stockportgov-design-system,3.13.0,N/A
hmcts/expressjs-template,https://github.com/hmcts/expressjs-template,4.8.0,2024-02-07T10:24:05Z
uktrade/digital-workspace-v2,https://github.com/uktrade/digital-workspace-v2,4.5.0,N/A
hmcts/rpx-xui-common-lib,https://github.com/hmcts/rpx-xui-common-lib,4.7.0,N/A
DEFRA/flood-app,https://github.com/DEFRA/flood-app,4.8.0,2024-02-19T12:27:08Z
UKGovernmentBEIS/energy-label-service,https://github.com/UKGovernmentBEIS/energy-label-service,4.0.1,N/A
Crown-Commercial-Service/DataSubmissionServiceAPI,https://github.com/Crown-Commercial-Service/DataSubmissionServiceAPI,3.15.0,undefined
hmrc/design-system,https://github.com/hmrc/design-system,5.3.0,2024-03-18T09:56:25Z
ministryofjustice/correspondence_tool_public,https://github.com/ministryofjustice/correspondence_tool_public,5.2.0,undefined
alphagov/verify-self-service,https://github.com/alphagov/verify-self-service,3.1.0,N/A
alphagov/rails-starter-app,https://github.com/alphagov/rails-starter-app,2.11.0,N/A
ministryofjustice/fb-editor-console-electron,https://github.com/ministryofjustice/fb-editor-console-electron,3.8.1,N/A
ministryofjustice/tax-tribunals-datacapture,https://github.com/ministryofjustice/tax-tribunals-datacapture,3.12.0,N/A
dvsa/cvs-apply-for-vehicle-test,https://github.com/dvsa/cvs-apply-for-vehicle-test,3.6.0,N/A
alphagov/emergency-alerts-admin,https://github.com/alphagov/emergency-alerts-admin,4.8.0,undefined
UKHomeOffice/business-data-manager,https://github.com/UKHomeOffice/business-data-manager,4.7.0,N/A
DFE-Digital/formbuilder-demo,https://github.com/DFE-Digital/formbuilder-demo,3.11.0,N/A
hmcts/snl-frontend,https://github.com/hmcts/snl-frontend,2.0.0,N/A
ministryofjustice/laa-review-criminal-legal-aid,https://github.com/ministryofjustice/laa-review-criminal-legal-aid,5.2.0,2024-01-11T11:47:26Z
hmcts/look-and-feel,https://github.com/hmcts/look-and-feel,3.6.0,N/A
