Colour,Function,Used as,Used in,Concept
#fd0,focus,box-shadow,.govuk-breadcrumbs__link:focus,breadcrumbs__link
#0b0c0c,focus-text,box-shadow,.govuk-breadcrumbs__link:focus,breadcrumbs__link
#0b0c0c,text,color,".govuk-breadcrumbs__link:active,
.govuk-breadcrumbs__link:link,
.govuk-breadcrumbs__link:visited",breadcrumbs__link
#0b0c0c,focus-text,color,.govuk-breadcrumbs__link:focus,breadcrumbs__link
#fff,,color,".govuk-breadcrumbs--inverse,
.govuk-breadcrumbs--inverse .govuk-breadcrumbs__link:link,
.govuk-breadcrumbs--inverse .govuk-breadcrumbs__link:visited","breadcrumbs--inverse,"
#0b0c0c,focus-text,color,.govuk-breadcrumbs--inverse .govuk-breadcrumbs__link:focus,breadcrumbs--inverse
#fff,,color,.govuk-button,button
#0f7a52,,background-color,.govuk-button,button
#083d29,,box-shadow,.govuk-button,button
#fff,,color,".govuk-button:active,
.govuk-button:hover,
.govuk-button:link,
.govuk-button:visited",button
#0b5c3e,,background-color,.govuk-button:hover,button
#fd0,focus,border-color,.govuk-button:focus,button
#fd0,focus,box-shadow,.govuk-button:focus,button
#fd0,focus,border-color,.govuk-button:focus:not(:active):not(:hover),button
#0b0c0c,focus-text,color,.govuk-button:focus:not(:active):not(:hover),button
#fd0,focus,background-color,.govuk-button:focus:not(:active):not(:hover),button
#0b0c0c,focus-text,box-shadow,.govuk-button:focus:not(:active):not(:hover),button
#0f7a52,,background-color,.govuk-button[disabled]:hover,button[disabled]
#083d29,,box-shadow,.govuk-button[disabled]:active,button[disabled]
#f3f3f3,,background-color,.govuk-button--secondary,button--secondary
#858686,,box-shadow,.govuk-button--secondary,button--secondary
#0b0c0c,,color,".govuk-button--secondary,
.govuk-button--secondary:active,
.govuk-button--secondary:hover,
.govuk-button--secondary:link,
.govuk-button--secondary:visited","button--secondary,"
#cecece,,background-color,.govuk-button--secondary:hover,button--secondary
#f3f3f3,,background-color,.govuk-button--secondary:hover[disabled],button--secondary
#ca3535,,background-color,.govuk-button--warning,button--warning
#651b1b,,box-shadow,.govuk-button--warning,button--warning
#fff,,color,".govuk-button--warning,
.govuk-button--warning:active,
.govuk-button--warning:hover,
.govuk-button--warning:link,
.govuk-button--warning:visited","button--warning,"
#982828,,background-color,.govuk-button--warning:hover,button--warning
#ca3535,,background-color,.govuk-button--warning:hover[disabled],button--warning
#fff,,background-color,.govuk-button--inverse,button--inverse
#0f385c,,box-shadow,.govuk-button--inverse,button--inverse
#1d70b8,brand,color,".govuk-button--inverse,
.govuk-button--inverse:active,
.govuk-button--inverse:hover,
.govuk-button--inverse:link,
.govuk-button--inverse:visited","button--inverse,"
#f4f8fb,,background-color,.govuk-button--inverse:hover,button--inverse
#fff,,background-color,.govuk-button--inverse:hover[disabled],button--inverse
#ca3535,error,color,.govuk-error-message,error-message
#484949,secondary-text,color,.govuk-hint,hint
#0b0c0c,text,color,.govuk-label,label
#0b0c0c,input-border,border-color,.govuk-textarea,textarea
#fd0,focus,outline-color,.govuk-textarea:focus,textarea
#0b0c0c,input-border,box-shadow,.govuk-textarea:focus,textarea
#ca3535,error,border-color,.govuk-textarea--error,textarea--error
#0b0c0c,input-border,border-color,.govuk-textarea--error:focus,textarea--error
#ca3535,error,border-color,.govuk-character-count .govuk-textarea--error:focus,character-count
#ca3535,error,box-shadow,.govuk-character-count .govuk-textarea--error:focus,character-count
#0b0c0c,text,color,.govuk-fieldset__legend,fieldset__legend
#fd0,focus,box-shadow,.govuk-checkboxes__input:focus+.govuk-checkboxes__label:before,checkboxes__input
#0b0c0c,text,color,.govuk-checkboxes__divider,checkboxes__divider
#cecece,border,border-left-color,.govuk-checkboxes__conditional,checkboxes__conditional
#cecece,hover,box-shadow,.govuk-checkboxes--small .govuk-checkboxes__input:not(:disabled):hover+.govuk-checkboxes__label:before,checkboxes--small
#fd0,focus,box-shadow,.govuk-checkboxes--small .govuk-checkboxes__input:focus:hover+.govuk-checkboxes__label:before,checkboxes--small
